,형태소,품사,등장횟수,동일형태소
0,윌,Noun,704,0
1,스미스,Noun,810,0
2,하드캐리,Noun,405,0
3,하여,Verb,33,0
4,의도,Noun,18,0
5,치,Noun,36,0
6,않게,Verb,61,0
7,원작,Noun,980,0
8,뛰어넘은,Verb,67,0
9,실사영화,Noun,305,0
10,영화,Noun,9609,1
11,너무,Adverb,7616,0
12,아름답다,Adjective,82,0
13,ost,Alpha,1612,0
14,도,Noun,648,1
15,잊혀지지,Verb,51,0
16,안고,Noun,10,0
17,디즈니,Noun,2246,0
18,실사,Noun,992,0
19,중,Suffix,670,1
20,최고,Noun,3273,0
21,최고다,Noun,218,0
22,쟈스민,Noun,585,0
23,멋지고,Adjective,131,0
24,팬,Noun,110,0
25,엄청나게,Adjective,17,0
26,생길듯,Verb,6,0
27,웃다가,Verb,39,0
28,울,Modifier,62,1
29,다가,Noun,50,0
30,좋았음,Adjective,232,0
31,존잼임,Noun,13,0
32,난,Noun,120,0
33,처음,Noun,679,0
34,도입,Noun,58,0
35,부,Noun,82,0
36,아,Exclamation,288,1
37,비안,Verb,23,0
38,나,Noun,412,0
39,잇,Verb,42,0
40,이,Noun,542,1
41,부분,Noun,316,0
42,감동,Noun,1758,0
43,받아서,Verb,46,0
44,울,Noun,89,1
45,뻔했음,Adjective,8,0
46,자스민,Noun,2128,0
47,speechless,Alpha,401,0
48,명,Noun,40,1
49,장면,Noun,493,0
50,덤,Noun,19,0
51,연기력,Noun,208,0
52,또한,Noun,54,1
53,매우,Noun,92,0
54,굿,Noun,262,0
55,A,Alpha,304,0
56,whole,Alpha,300,0
57,new,Alpha,302,0
58,world,Alpha,303,0
59,나올,Verb,310,0
60,때때,Noun,3,0
61,개,Noun,269,1
62,소름,Noun,516,0
63,존나,Noun,39,0
64,이쁘다,Adjective,73,0
65,지니,Noun,2404,0
66,나오면,Verb,57,0
67,이세,Noun,23,0
68,상,Suffix,82,1
69,흥이,Noun,65,0
70,아니다,Adjective,28,0
71,ㅎ,KoreanParticle,292,0
72,일요일,Noun,65,0
73,아침,Noun,67,0
74,8시,Number,14,0
75,만화,Noun,388,0
76,동산,Noun,32,0
77,챙겨,Verb,10,0
78,보고,Noun,1421,1
79,비디오,Noun,60,0
80,알라딘,Noun,2897,0
81,애니,Noun,474,0
82,수십,Modifier,11,0
83,번,Noun,1291,1
84,빌려,Verb,4,0
85,봐서,Verb,172,0
86,테이프,Noun,13,0
87,늘어났었는데,Verb,1,0
88,ㅎㅎ,KoreanParticle,671,0
89,클린,Noun,1,0
90,액,Noun,1,0
91,헤드,Noun,2,0
92,청소,Noun,2,0
93,해보,Verb,1,0
94,신분,Noun,48,0
95,손,Noun,42,0
96,미쳤음,Adjective,27,0
97,시장,Noun,7,0
98,통재,Noun,1,0
99,잡아먹으려고,Verb,1,0
100,작정,Noun,9,0
101,함,Noun,343,1
102,끝내주는,Adjective,7,0
103,이제껏,Noun,4,0
104,였음,Verb,151,0
105,제일,Noun,240,0
106,우려,Noun,22,0
107,스러웠던,Adjective,3,0
108,윌스미스,Noun,2320,0
109,하는,Verb,445,0
110,바람,Noun,16,0
111,뛰어넘어,Verb,10,0
112,버림,Verb,37,0
113,ㅋㅋㅋ,KoreanParticle,438,0
114,2시간,Number,235,0
115,동안,Foreign,67,1
116,동화,Noun,344,0
117,들어갔다,Verb,53,0
118,나온,Verb,142,0
119,기분,Noun,548,0
120,는,Verb,176,0
121,정말,Noun,2017,1
122,언제,Noun,30,0
123,들,Suffix,3063,1
124,어도,Noun,6,0
125,벅차고,Adjective,15,0
126,스럽네요,Adjective,5,0
127,ㅠㅠ,KoreanParticle,1424,0
128,화,Suffix,394,1
129,이렇게,Adverb,352,0
130,완벽히,Adjective,12,0
